facility_id,aspen_facid,status,certification_type,county,fips_county_code,participation_date,approval_date,type_of_care,critical_access,facility_name,address,city,zip,latitude,longitude,contact_email,contact_phone,num_beds,in_psps_zone,in_fire_zone,in_earthquake_zone,proximity_to_dispatch_center,outage_likelihood_score,google_map_link
10000208,CA010000208,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,31750.0,45716.0,CCRC,,SPRING LAKE VILLAGE,5555 MONTGOMERY DR,SANTA ROSA,95409,38.459016,-122.6435805,DSKILLMAN@FRONTPORCH.NET,(707) 538-8400,70,,,,,,"https://www.google.com/maps/search/?api=1&query=38.459016,-122.6435805"
10000936,CA220000054,OPEN,LICENSED AND CERTIFIED,MARIN,6041,27117.0,,,,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",1601 5TH AVE,SAN RAFAEL,94901,37.974582,-122.535549,ADMINISTRATOR@SANRAFAELHC.COM,(415) 456-7170,54,,,,,,"https://www.google.com/maps/search/?api=1&query=37.974582,-122.535549"
10000938,CA220000055,OPEN,LICENSED AND CERTIFIED,MARIN,6041,25282.0,45635.0,,,SOUTH MARIN HEALTH & WELLNESS CENTER,1220 S ELISEO DR,GREENBRAE,94904,37.944234,-122.535801,KNECKE@ASPENHEALTH.COM,(415) 461-9700,72,,,,,,"https://www.google.com/maps/search/?api=1&query=37.944234,-122.535801"
10000940,CA010000940,OPEN,LICENSED AND CERTIFIED,MARIN,6041,39386.0,45350.0,,,NOVATO HEALTHCARE CENTER,1565 HILL RD,NOVATO,94947,38.095974,-122.576454,ADMINISTRATOR@NOVATOHC.COM,(415) 897-6161,181,,,,,,"https://www.google.com/maps/search/?api=1&query=38.095974,-122.576454"
10000949,CA220000093,OPEN,LICENSED AND CERTIFIED,MARIN,6041,24777.0,45673.0,,,PINE RIDGE CARE CENTER,45 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,38.010393,-122.539716,MRMONROE@MARINERHEALTHCARE.COM,(415) 408-8306,101,,,,,,"https://www.google.com/maps/search/?api=1&query=38.010393,-122.539716"
10000951,010000951,OPEN,LICENSED ONLY,MARIN,6041,,,,,TIBURON HILLS CARE CENTER,30 HACIENDA DR,BELVEDERE TIBURON,94920,37.900845,-122.481072,CJ.JEPPSON@ALHAMBRAPA.COM,(415) 435-4554,56,,,,,,"https://www.google.com/maps/search/?api=1&query=37.900845,-122.481072"
10000959,CA220000078,OPEN,LICENSED AND CERTIFIED,MARIN,6041,24473.0,45359.0,,,MARIN POST ACUTE,234 N SAN PEDRO RD,SAN RAFAEL,94903,38.002581,-122.5211985,KEVAN.BILLS@MARINPOSTACUTE.COM,(801) 380-9916,168,,,,,,"https://www.google.com/maps/search/?api=1&query=38.002581,-122.5211985"
10000968,CA220000065,OPEN,LICENSED AND CERTIFIED,MARIN,6041,31393.0,45581.0,,,PROFESSIONAL POST ACUTE CENTER,81 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,38.010276,-122.538168,NICOLEMITZEL@SBCGLOBAL.NET,(415) 479-5161,99,,,,,,"https://www.google.com/maps/search/?api=1&query=38.010276,-122.538168"
10000980,CA220000075,OPEN,LICENSED AND CERTIFIED,MARIN,6041,27110.0,44552.0,,,NORTHGATE POSTACUTE CARE,40 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,38.009448,-122.538078,ADMINISTRATOR@NORTHGATEPOSTACUTE.COM,(415) 479-1230,54,,,,,,"https://www.google.com/maps/search/?api=1&query=38.009448,-122.538078"
10000985,CA220000092,OPEN,LICENSED AND CERTIFIED,MARIN,6041,25377.0,45302.0,CCRC,,THE TAMALPAIS,501 VIA CASITAS,GREENBRAE,94904,37.945647,-122.532219,TTUMBALE@SEQUOIALIVING.ORG,(415) 461-2300,26,,,,,,"https://www.google.com/maps/search/?api=1&query=37.945647,-122.532219"
10000995,CA220000096,OPEN,LICENSED AND CERTIFIED,MARIN,6041,31602.0,45211.0,CCRC,,VILLA MARIN RETIREMENT RESIDENCES,100 THORNDALE DR,SAN RAFAEL,94903,38.003535,-122.5496115,PAULD@VILLA-MARIN.COM,(707) 287-4221,31,,,,,,"https://www.google.com/maps/search/?api=1&query=38.003535,-122.5496115"
10001007,CA01000001007,OPEN,LICENSED AND CERTIFIED,MARIN,6041,38446.0,45499.0,,,"THE REDWOODS, A COMMUNITY OF SENIORS",40 CAMINO ALTO,MILL VALLEY,94941,37.893933,-122.529123,KRUTH-ISLAS@THEREDWOODS.ORG,(415) 383-2741,58,,,,,,"https://www.google.com/maps/search/?api=1&query=37.893933,-122.529123"
10001037,CA220000772,OPEN,LICENSED AND CERTIFIED,MARIN,6041,34439.0,45195.0,,,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,1550 SILVEIRA PKWY,SAN RAFAEL,94903,38.020149,-122.5261755,KABIRNAIN@LIFEGEN.NET,(415) 499-1000,80,,,,,,"https://www.google.com/maps/search/?api=1&query=38.020149,-122.5261755"
10001140,CA010001140,OPEN,LICENSED AND CERTIFIED,SONOMA,6097,39084.0,45274.0,CCRC,,ARBOL RESIDENCES OF SANTA ROSA,300 FOUNTAINGROVE PKWY,SANTA ROSA,95403,38.474964,-122.7225555,STROSHSCHEINMARCUS@ARBOLSANTAROSA.COM,(707) 566-8600,45,,,,,,"https://www.google.com/maps/search/?api=1&query=38.474964,-122.7225555"
20000005,CA020000005,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,28611.0,45639.0,,,ST ANTHONY CARE CENTER,553 SMALLEY AVENUE,HAYWARD,94541,37.671273,-122.0918535,LUCY@SERENETHOSCARE.COM,(510) 733-3877,30,,,,,,"https://www.google.com/maps/search/?api=1&query=37.671273,-122.0918535"
20000010,CA020000010,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,33371.0,45308.0,,,ASHBY CARE CENTER,2270 ASHBY AVENUE,BERKELEY,94705,37.855566,-122.2618185,ASHBYCARECENTER@AOL.COM,(510) 841-9494,31,,,,,,"https://www.google.com/maps/search/?api=1&query=37.855566,-122.2618185"
20000015,CA020000015,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,28369.0,45666.0,,,BANCROFT HEALTHCARE CENTER,1475 BANCROFT AVENUE,SAN LEANDRO,94577,37.725435,-122.1475095,ALLEN@BANCROFTHEALTHCARE.COM,(510) 483-1680,36,,,,,,"https://www.google.com/maps/search/?api=1&query=37.725435,-122.1475095"
20000019,CA020000019,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,27492.0,,,,VISTA POST ACUTE,3269 D STREET,HAYWARD,94541,37.679148,-122.0468175,RICKY@BUENAVISTAHC.COM,(510) 537-6700,71,,,,,,"https://www.google.com/maps/search/?api=1&query=37.679148,-122.0468175"
20000020,CA020000020,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,24908.0,45107.0,,,WINDSOR COUNTRY DRIVE CARE CENTER,2500 COUNTRY DRIVE,FREMONT,94536,37.557018,-121.98492,CDRADMIN@WINDSORCARES.COM,(510) 792-4242,126,,,,,,"https://www.google.com/maps/search/?api=1&query=37.557018,-121.98492"
20000026,CA020000026,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26542.0,45695.0,,,"BAY VIEW REHABILITATION HOSPITAL, LLC",516 WILLOW STREET,ALAMEDA,94501,37.759995,-122.254614,ADMIN@BAYVIEWNURSING.COM,(510) 521-5600,170,,,,,,"https://www.google.com/maps/search/?api=1&query=37.759995,-122.254614"
20000028,CA020000028,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,24882.0,45434.0,,,BERKELEY PINES SKILLED NURSING CENTER,2223 ASHBY AVENUE,BERKELEY,94705,37.856115,-122.2627455,AL.MACASIEB@BERKELEY-PINES.COM,(510) 649-6670,36,,,,,,"https://www.google.com/maps/search/?api=1&query=37.856115,-122.2627455"
20000029,CA020000029,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26647.0,45639.0,,,BETHESDA HOME,22427 MONTGOMERY STREET,HAYWARD,94541,37.672182,-122.0884785,CHRISTINA.K@BETHESDACA.ORG,(510) 538-8300,40,,,,,,"https://www.google.com/maps/search/?api=1&query=37.672182,-122.0884785"
20000036,CA020000036,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,25235.0,45723.0,,,MISSION VALLEY POST ACUTE,2400 PARKSIDE DRIVE,FREMONT,94536,37.559016,-121.98213,KELLY.BILLS@MISSIONVALLEYPA.COM,(510) 793-7222,85,,,,,,"https://www.google.com/maps/search/?api=1&query=37.559016,-121.98213"
20000037,CA020000037,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,29342.0,45498.0,,,EMMANUEL POST ACUTE CARE - HAYWARD,26660 PATRICK AVENUE,HAYWARD,94544,37.640493,-122.080482,WDEMESA@YMAIL.COM,(510) 782-1845,99,,,,,,"https://www.google.com/maps/search/?api=1&query=37.640493,-122.080482"
20000039,CA020000039,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,24859.0,,,,HAYWARD HEALTHCARE & WELLNESS CENTER,1805 WEST STREET,HAYWARD,94545,37.645272,-122.116122,ADMINISTRATOR@HAYWARDHCC.COM,(510) 783-4811,99,,,,,,"https://www.google.com/maps/search/?api=1&query=37.645272,-122.116122"
20000040,CA020000040,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,39367.0,,CCRC,,MASONIC HOME,34400 MISSION BOULEVARD,UNION CITY,94587,37.598823,-122.0058495,CCRUZ@MHCUC.ORG,(510) 429-6487,125,,,,,,"https://www.google.com/maps/search/?api=1&query=37.598823,-122.0058495"
20000043,CA020000043,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,33543.0,45588.0,SUBACUTE - ADULT,,ALAMEDA HEALTHCARE & WELLNESS CENTER,430 WILLOW STREET,ALAMEDA,94501,37.758681,-122.255028,ADMINISTRATOR@ALAMEDAHC.COM,(510) 523-8857,166,,,,,,"https://www.google.com/maps/search/?api=1&query=37.758681,-122.255028"
20000047,CA020000047,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,27303.0,45579.0,,,HAYWARD HILLS HEALTH CARE CENTER,1768 B STREET,HAYWARD,94541,37.682073,-122.069259,KJLOVATO@MARINERHEALTHCARE.COM,(510) 538-4424,74,,,,,,"https://www.google.com/maps/search/?api=1&query=37.682073,-122.069259"
20000048,CA020000048,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,40738.0,45617.0,,,CHAPARRAL HOUSE,1309 ALLSTON WAY,BERKELEY,94702,37.867518,-122.285601,SONLY@CHAPARRALHOUSE.ORG,(510) 848-8774,49,,,,,,"https://www.google.com/maps/search/?api=1&query=37.867518,-122.285601"
20000053,CA020000053,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,41760.0,45238.0,,,CRESTWOOD MANOR - FREMONT,4303 STEVENSON BOULEVARD,FREMONT,94538,37.537524,-121.977216,LABRIE@CBHI.NET,(510) 651-1244,126,,,,,,"https://www.google.com/maps/search/?api=1&query=37.537524,-121.977216"
20000054,CA020000054,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,24855.0,45729.0,,,"PRINCETON MANOR HEALTHCARE CENTER, LLC",2124 57TH AVENUE,OAKLAND,94621,37.76996856,-122.1960052,ADMINISTRATOR@PRINCETONMANORHC.COM,(510) 261-2628,82,,,,,,"https://www.google.com/maps/search/?api=1&query=37.76996856,-122.1960052"
20000060,CA020000060,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,27443.0,45496.0,,,GOLDEN HARBOR HEALTHCARE CENTER,442 SUNSET BLVD,HAYWARD,94541,37.67485401,-122.097946,RYAN@SPYGLASSHC.COM,(408) 320-9897,99,,,,,,"https://www.google.com/maps/search/?api=1&query=37.67485401,-122.097946"
20000064,CA020000064,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26612.0,45586.0,CCRC,,ST. PAUL'S TOWERS,100 BAY PLACE,OAKLAND,94610,37.811898,-122.2602975,CMARCELO@FRONTPORCH.NET,(510) 891-8512,43,,,,,,"https://www.google.com/maps/search/?api=1&query=37.811898,-122.2602975"
20000065,0200000065,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,43810.0,,,,WE CARE SKILLED NURSING FACILITY,21863 VALLEJO STREET,HAYWARD,94541,37.676565,-122.094225,ASHJAINCCC@GMAIL.COM,(510) 750-1245,28,,,,,,"https://www.google.com/maps/search/?api=1&query=37.676565,-122.094225"
20000066,CA020000066,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,28463.0,45406.0,,,VALLEY POINTE NURSING & REHABILITATION CENTER,20090 STANTON AVENUE,CASTRO VALLEY,94546,37.697697,-122.090301,ABE.OYLER@VALLEYPOINTEHC.COM,(510) 538-8464,50,,,,,,"https://www.google.com/maps/search/?api=1&query=37.697697,-122.090301"
20000068,CA020000068,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,27894.0,45481.0,,,ST JOHN KRONSTADT CONVALESCENT CENTER,4432 JAMES AVENUE,CASTRO VALLEY,94546,37.707066,-122.070024,JEREMY@SERENITY4.COM,(510) 889-7000,49,,,,,,"https://www.google.com/maps/search/?api=1&query=37.707066,-122.070024"
20000070,CA02000070,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,38239.0,45526.0,SUBACUTE - ADULT,,ALL SAINT'S SUBACUTE & TRANSITIONAL CARE,1652 MONO AVENUE,SAN LEANDRO,94578,37.704429,-122.119479,KALEB.HATCH@ALLSAINTSHC.COM,(915) 383-6934,70,,,,,,"https://www.google.com/maps/search/?api=1&query=37.704429,-122.119479"
20000071,CA020000071,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,32783.0,45498.0,,,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,25919 GADING ROAD,HAYWARD,94544,37.64727,-122.082624,VINADMIN@WINDSORCARES.COM,(510) 782-8424,99,,,,,,"https://www.google.com/maps/search/?api=1&query=37.64727,-122.082624"
20000074,CA020000074,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,42871.0,45462.0,,,"SERENETHOS CARE CENTER, LLC",22822 MYRTLE STREET,HAYWARD,94541,37.665873,-122.0909985,LUCY@SERENETHOSCARE.COM,(510) 537-4844,36,,,,,,"https://www.google.com/maps/search/?api=1&query=37.665873,-122.0909985"
20000076,CA020000076,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,32961.0,45414.0,,,ST. FRANCIS HEALTHCARE CENTER,718 BARLETT AVE,HAYWARD,94541,37.669302,-122.1180345,MATT.HADLEY@STFRANCISCARECENTER.COM,(510) 785-3630,62,,,,,,"https://www.google.com/maps/search/?api=1&query=37.669302,-122.1180345"
20000077,CA020000077,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26543.0,,,,SAN LEANDRO HEALTHCARE CENTER,368 JUANA AVENUE,SAN LEANDRO,94577,37.724625,-122.1517215,CARLOS.CORTEZ@SANLEANDROHC.NET,(510) 357-4015,62,,,,,,"https://www.google.com/maps/search/?api=1&query=37.724625,-122.1517215"
20000079,CA020000079,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,31811.0,45504.0,,,MEDICAL HILL HEALTHCARE CENTER,475 29TH STREET,OAKLAND,94609,37.817541,-122.2664445,ANDREW.SNIDER@MEDICALHILLHC.COM,(510) 832-3222,124,,,,,,"https://www.google.com/maps/search/?api=1&query=37.817541,-122.2664445"
20000087,CA020000087,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,27242.0,45498.0,,,CROWN BAY NURSING & REHABILITATION CENTER,508 WESTLINE DRIVE,ALAMEDA,94501,37.765188,-122.2707465,DMALLARI@CBNRC.COM,(510) 521-5765,135,,,,,,"https://www.google.com/maps/search/?api=1&query=37.765188,-122.2707465"
20000090,CA020000090,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26785.0,45617.0,,,EDEN HEALTHCARE CENTER,27350 TAMPA AVENUE,HAYWARD,94544,37.634877,-122.0764365,ROBERT@SPYGLASSHC.COM,(510) 783-8150,121,,,,,,"https://www.google.com/maps/search/?api=1&query=37.634877,-122.0764365"
20000091,CA020000091,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,25391.0,45715.0,CCRC,,PIEDMONT GARDENS HEALTH FACILITY,110 41ST STREET,OAKLAND,94611,37.826289,-122.251014,DANIEL.WITTMAN@HUMANGOOD.ORG,(510) 654-7172,94,,,,,,"https://www.google.com/maps/search/?api=1&query=37.826289,-122.251014"
20000093,CA020000093,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,25631.0,,,,EXCELL HEALTH CARE CENTER,3025 HIGH STREET,OAKLAND,94619,37.785087,-122.2006995,ADMIN@EXCELLHEALTHCARECENTER.COM,(510) 261-5200,99,,,,,,"https://www.google.com/maps/search/?api=1&query=37.785087,-122.2006995"
20000094,CA020000094,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26200.0,,,,WE CARE SKILLED NURSING - FREMONT,2100 PARKSIDE DRIVE,FREMONT,94536,37.558764,-121.9811625,ALDWIN.PONDER@WECARESNF.COM,(510) 797-5300,99,,,,,,"https://www.google.com/maps/search/?api=1&query=37.558764,-121.9811625"
20000099,CA020000099,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,28240.0,,,,MCCLURE POST ACUTE,2910 MCCLURE STREET,OAKLAND,94609,37.818315,-122.266107,ANDREW.SNIDER@MCCLUREHC.COM,(510) 836-3677,60,,,,,,"https://www.google.com/maps/search/?api=1&query=37.818315,-122.266107"
20000100,CA020000100,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,31064.0,,CCRC,,MERCY RETIREMENT & CARE CENTER,3431 FOOTHILL BOULEVARD,OAKLAND,94601,37.782108,-122.220765,KHASS@ELDERCAREALLIANCE.ORG,(510) 534-8540,59,,,,,,"https://www.google.com/maps/search/?api=1&query=37.782108,-122.220765"
20000101,CA020000101,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,28491.0,45483.0,,,NILES CANYON POST ACUTE,38650 MISSION BOULEVARD,FREMONT,94536,37.570527,-121.9653315,ESAMPSON@WESTHARBORHC.COM,(510) 793-3000,73,,,,,,"https://www.google.com/maps/search/?api=1&query=37.570527,-121.9653315"
20000103,CA020000103,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,25235.0,45688.0,,,HAYWARD GARDENS POST ACUTE,1628 B STREET,HAYWARD,94541,37.679724,-122.0718735,INFO@WINDSORCARES.COM,(510) 582-4636,75,,,,,,"https://www.google.com/maps/search/?api=1&query=37.679724,-122.0718735"
20000104,CA020000104,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,33385.0,45698.0,,,MARINA GARDEN NURSING CENTER,3201 FERNSIDE BOULEVARD,ALAMEDA,94501,37.763442,-122.2255755,JEFFREY.TONG@BELLAKEN.COM,(510) 523-2363,32,,,,,,"https://www.google.com/maps/search/?api=1&query=37.763442,-122.2255755"
20000110,CA020000110,OPEN,LICENSED AND CERTIFIED,ALAMEDA,6001,26542.0,,,,LAKE MERRITT HEALTHCARE CENTER LLC,309 MACARTHUR BOULEVARD,OAKLAND,94610,37.81413,-122.2519095,ADMINISTRATOR@LAKEMERRITTHC.COM,(510) 836-3777,53,,,,,,"https://www.google.com/maps/search/?api=1&query=37.81413,-122.2519095"
